Group;Species;Organ;Rep;Label;Timestamp;Hours;Branch;MPa;CumulHits;CumulPercent
3;ssay;leaf;1;ssay.1l;08.12.2012 21:53;79.45;4065;-4.54;161;100
3;ssay;leaf;2;ssay.2l;05.12.2012 14:26;0;5025;-0.05;0;0
3;ssay;leaf;2;ssay.2l;05.12.2012 16:29;2.05;5025;-0.98;9;2.85
3;ssay;leaf;2;ssay.2l;05.12.2012 17:33;3.11;5025;-1.36;42;13.29
3;ssay;leaf;2;ssay.2l;05.12.2012 18:53;4.45;5025;-1.47;118;37.34
3;ssay;leaf;2;ssay.2l;05.12.2012 21:50;7.39;5025;-1.71;235;74.37
3;ssay;leaf;2;ssay.2l;06.12.2012 08:30;18.07;5025;-1.95;308;97.47
3;ssay;leaf;2;ssay.2l;06.12.2012 10:39;20.21;5025;-2.04;314;99.37
3;ssay;leaf;2;ssay.2l;06.12.2012 13:40;23.23;5025;-2.22;316;100
3;ssay;leaf;2;ssay.2l;06.12.2012 17:35;27.15;5025;-2.34;316;100
3;ssay;leaf;2;ssay.2l;06.12.2012 23:13;32.78;5025;-2.47;316;100
3;ssay;leaf;2;ssay.2l;07.12.2012 07:11;40.75;5025;-2.47;316;100
3;ssay;leaf;2;ssay.2l;07.12.2012 12:54;46.46;5025;-2.4;316;100
3;ssay;leaf;2;ssay.2l;07.12.2012 18:13;51.78;5025;-2.46;316;100
3;ssay;leaf;2;ssay.2l;08.12.2012 10:57;68.52;5025;-3.3;316;100
3;ssay;leaf;2;ssay.2l;08.12.2012 21:53;79.45;5025;-4.14;316;100
